Symbol,Security,GICS Sector,GICS Sub-Industry,CIK
MMM,3M,Industrials,Industrial Conglomerates,0000066740
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0000001800
ABBV,AbbVie,Health Care,Pharmaceuticals,0001551152
ABMD,Abiomed,Health Care,Health Care Equipment,0000815094
ACN,Accenture,Information Technology,IT Consulting & Other Services,0001467373
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,0000718877
ADBE,Adobe,Information Technology,Application Software,0000796343
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0000002488
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,0001158449
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,0000874761
AFL,Aflac,Financials,Life & Health Insurance,0000004977
A,Agilent Technologies,Health Care,Health Care Equipment,0001090872
APD,Air Products & Chemicals,Materials,Industrial Gases,0000002969
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,0001086222
ALK,Alaska Air Group,Industrials,Airlines,0000766421
ALB,Albemarle Corporation,Materials,Specialty Chemicals,0000915913
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,0001035443
ALGN,Align Technology,Health Care,Health Care Supplies,0001097149
ALLE,Allegion,Industrials,Building Products,0001579241
LNT,Alliant Energy,Utilities,Electric Utilities,0000352541
ALL,Allstate Corp,Financials,Property & Casualty Insurance,0000899051
GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services,0001652044
GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services,0001652044
MO,Altria Group,Consumer Staples,Tobacco,0000764180
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,0001018724
AMCR,Amcor,Materials,Paper Packaging,0001748790
AEE,Ameren Corp,Utilities,Multi-Utilities,0001002910
AAL,American Airlines Group,Industrials,Airlines,0000006201
AEP,American Electric Power,Utilities,Electric Utilities,0000004904
AXP,American Express,Financials,Consumer Finance,0000004962
AIG,American International Group,Financials,Property & Casualty Insurance,0000005272
AMT,American Tower,Real Estate,Specialized REITs,0001053507
AWK,American Water Works,Utilities,Water Utilities,0001410636
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,0000820027
ABC,AmerisourceBergen,Health Care,Health Care Distributors,0001140859
AME,Ametek,Industrials,Electrical Components & Equipment,0001037868
AMGN,Amgen,Health Care,Biotechnology,0000318154
APH,Amphenol Corp,Information Technology,Electronic Components,0000820313
ADI,Analog Devices,Information Technology,Semiconductors,0000006281
ANSS,Ansys,Information Technology,Application Software,0001013462
ANTM,Anthem,Health Care,Managed Health Care,0001156039
AON,Aon,Financials,Insurance Brokers,0000315293
AOS,A. O. Smith,Industrials,Building Products,0000091142
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,0000006769
AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193
AMAT,Applied Materials,Information Technology,Semiconductor Equipment,0000006951
APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,0001521332
ADM,ADM,Consumer Staples,Agricultural Products,0000007084
ANET,Arista Networks,Information Technology,Communications Equipment,0001596532
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,0000354190
AIZ,Assurant,Financials,Multi-line Insurance,0001267238
T,AT&T,Communication Services,Integrated Telecommunication Services,0000732717
ATO,Atmos Energy,Utilities,Gas Utilities,0000731802
ADSK,Autodesk,Information Technology,Application Software,0000769397
ADP,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services,0000008670
AZO,AutoZone,Consumer Discretionary,Specialty Stores,0000866787
AVB,AvalonBay Communities,Real Estate,Residential REITs,0000915912
AVY,Avery Dennison,Materials,Paper Packaging,0000008818
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,0001701605
BLL,Ball Corp,Materials,Metal & Glass Containers,0000009389
BAC,Bank of America,Financials,Diversified Banks,0000070858
BK,BNY Mellon,Financials,Asset Management & Custody Banks,0001390777
BAX,Baxter International,Health Care,Health Care Equipment,0000010456
BDX,Becton Dickinson,Health Care,Health Care Equipment,0000010795
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,0001067983
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,0000764478
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,0000012208
BIIB,Biogen,Health Care,Biotechnology,0000875045
BLK,BlackRock,Financials,Asset Management & Custody Banks,0001364742
BA,Boeing Company,Industrials,Aerospace & Defense,0000012927
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,0001075531
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,0000908255
BXP,Boston Properties,Real Estate,Office REITs,0001037540
BSX,Boston Scientific,Health Care,Health Care Equipment,0000885725
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,0000014272
AVGO,Broadcom,Information Technology,Semiconductors,0001730168
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,0001383312
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,0000014693
CHRW,C. H. Robinson,Industrials,Air Freight & Logistics,0001043277
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,0000858470
CDNS,Cadence Design Systems,Information Technology,Application Software,0000813672
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,0001590895
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,0000016732
COF,Capital One Financial,Financials,Consumer Finance,0000927628
CAH,Cardinal Health,Health Care,Health Care Distributors,0000721371
KMX,CarMax,Consumer Discretionary,Specialty Stores,0001170010
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0000815097
CARR,Carrier Global,Industrials,Building Products,0001783180
CTLT,Catalent,Health Care,Pharmaceuticals,0001596783
CAT,Caterpillar,Industrials,Construction Machinery & Heavy Trucks,0000018230
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,0001374310
CBRE,CBRE,Real Estate,Real Estate Services,0001138118
CDW,CDW,Information Technology,Technology Distributors,0001402057
CE,Celanese,Materials,Specialty Chemicals,0001306830
CNC,Centene Corporation,Health Care,Managed Health Care,0001071739
CNP,CenterPoint Energy,Utilities,Multi-Utilities,0001130310
CERN,Cerner,Health Care,Health Care Technology,0000804753
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,0001324404
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,0001100682
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,0000316709
CHTR,Charter Communications,Communication Services,Cable & Satellite,0001091667
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,0000093410
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,0001058090
CB,Chubb,Financials,Property & Casualty Insurance,0000896159
CHD,Church & Dwight,Consumer Staples,Household Products,0000313927
CI,Cigna,Health Care,Managed Health Care,0001739940
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,0000020286
CTAS,Cintas Corporation,Industrials,Diversified Support Services,0000723254
CSCO,Cisco Systems,Information Technology,Communications Equipment,0000858877
C,Citigroup,Financials,Diversified Banks,0000831001
CFG,Citizens Financial Group,Financials,Regional Banks,0000759944
CTXS,Citrix Systems,Information Technology,Application Software,0000877890
CLX,Clorox,Consumer Staples,Household Products,0000021076
CME,CME Group,Financials,Financial Exchanges & Data,0001156375
CMS,CMS Energy,Utilities,Multi-Utilities,0000811156
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,0000021344
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,0001058290
CL,Colgate-Palmolive,Consumer Staples,Household Products,0000021665
CMCSA,Comcast,Communication Services,Cable & Satellite,0001166691
CMA,Comerica,Financials,Diversified Banks,0000028412
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,0000023217
